page,section,title,content,icon,order,id,created_date,updated_date,created_by_id,created_by,is_sample
"service-detail","safety-manager","תוכן מפורט","שירות ממונה בטיחות חיצוני מספק לארגון את כל השירותים הנדרשים על פי חוק:

בטיחות כימית וביולוגית במעבדות:
• זיהוי וניהול סיכונים ביולוגיים במקום העבודה
• סקר סיכונים לפי אופי המעבדה ושיטות העבודה
• עריכת דוחות ממצאים והמלצות
• קביעת רמות המעבדות לפי תקנים בינלאומיים
• ייעוץ בבחירת ציוד הגנה
• כתיבת נהלי בטיחות מפורטים

אנחנו מספקים שירות מקצועי ואמין, תוך עמידה מלאה בדרישות החוק והרגולציה העדכנית.","","4","6941b4c7fcb9256cd3217230","2025-12-16T19:36:39.731000","2025-12-16T19:36:39.731000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","safety-manager","יתרונות","ייעוץ וליווי מקצועי שוטף
קיום מלא של דרישות החוק
בניית תוכנית בטיחות ארגונית
ביקורות בטיחות תקופתיות
זמינות ומענה מהיר
ניסיון עשיר בתחום
חיסכון בעלויות לעומת ממונה פנימי
גישה לידע עדכני ורגולציה","","5","6941b4c7fcb9256cd3217231","2025-12-16T19:36:39.731000","2025-12-16T19:36:39.731000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","safety-manager","תהליך","1. פגישת היכרות וסקר ראשוני
2. הערכת מצב קיים וזיהוי פערים
3. בניית תוכנית עבודה שנתית
4. ביקורות תקופתיות במקום
5. ליווי ביישום המלצות
6. הדרכות עובדים ונאמני בטיחות
7. הכנה וליווי לביקורות רשויות
8. דיווחים ומעקב שוטף","","6","6941b4c7fcb9256cd3217232","2025-12-16T19:36:39.731000","2025-12-16T19:36:39.731000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","training","כותרת","הדרכות והרצאות - קורס נאמן בטיחות","","1","6941b4c7fcb9256cd3217227","2025-12-16T19:36:39.726000","2025-12-16T19:36:39.726000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","training","אייקון","GraduationCap","","2","6941b4c7fcb9256cd3217228","2025-12-16T19:36:39.726000","2025-12-16T19:36:39.726000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","training","תיאור","אחת הסיבות העיקריות להתרחשות תאונות עבודה היא חוסר ידע של עובדים לגבי הסיכונים הקיימים בעמדות העבודה, בתהליכים, בחומרים וכמו כן לגבי מיגון מתאים.","","3","6941b4c7fcb9256cd3217229","2025-12-16T19:36:39.726000","2025-12-16T19:36:39.726000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","training","תוכן מפורט","אנחנו מוסד מוכר מטעם מינהל הבטיחות והבריאות התעסוקתית להכשרת נאמני בטיחות בעבודה.

הקורסים שלנו כוללים:

• קורס בסיסי לנאמן בטיחות (100 שעות) - קורס מקיף המכשיר נאמני בטיחות לפי דרישות משרד הכלכלה

• קורס רענון שנתי לנאמני בטיחות - חובה על פי חוק לכל נאמן בטיחות

• הדרכות בטיחות מותאמות למפעלים, מעבדות ובתי חולים

• הדרכות בבטיחות כימית וביולוגית

• הדרכות בעבודה בגובה

• סדנאות מעשיות וסימולציות

כל ההדרכות מותאמות אישית לצרכי הארגון ולסיכונים הספציפיים במקום העבודה.","","4","6941b4c7fcb9256cd321722a","2025-12-16T19:36:39.726000","2025-12-16T19:36:39.726000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","training","יתרונות","מוסד מוכר מטעם משרד הכלכלה
מרצים מנוסים ומומחי תחום
קורסים מקיפים ומעשיים
התאמה אישית לצרכי הארגון
תעודות הסמכה מוכרות
חומרי לימוד עדכניים
ליווי לאחר ההכשרה
קורסי רענון שנתיים","","5","6941b4c7fcb9256cd321722b","2025-12-16T19:36:39.726000","2025-12-16T19:36:39.726000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","training","תהליך","1. פגישת היכרות וזיהוי צרכים
2. בניית תכנית הדרכה מותאמת
3. אישור תכנית עם הארגון
4. ביצוע ההדרכה - תיאוריה ומעשה
5. מבחנים והערכות
6. הנפקת תעודות הסמכה
7. מעקב והדרכות רענון","","6","6941b4c7fcb9256cd321722c","2025-12-16T19:36:39.726000","2025-12-16T19:36:39.726000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","כותרת","בטיחות כימית","","1","6941b4c7fcb9256cd3217221","2025-12-16T19:36:39.722000","2025-12-16T19:36:39.722000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","אייקון","Beaker","","2","6941b4c7fcb9256cd3217222","2025-12-16T19:36:39.722000","2025-12-16T19:36:39.722000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","תיאור","מטרת העיסוק בבטיחות כימית היא להביא לידיעת מעסיקים ועובדים מידע בתחום הסיכונים הקיימים במקום העבודה כדי לתכנן ולבנות את הדרכים למניעת תאונות עבודה וחשיפה לחומרים כימיים.","","3","6941b4c7fcb9256cd3217223","2025-12-16T19:36:39.722000","2025-12-16T19:36:39.722000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","תוכן מפורט","בטיחות כימית היא תחום קריטי בכל ארגון העובד עם חומרים כימיים. השירות שלנו כולל:

ניהול תחום החומרים המסוכנים בכל השלבים: ייצור, אריזה, אחסון, עבודה, תאימות בין חומרים, הכרת מאפייניהם ושיטות פעולה במקרה חירום.

אנחנו מסייעים בזיהוי וסיווג חומרים מסוכנים על פי התקנות החדשות של GHS ובניית מאגרי מידע של החומרים הכימיים. בנוסף, אנו עוסקים בהכנת דפי בטיחות (MSDS) בעברית ובעדכונם.

השירות כולל גם הכנה לביקורות של משרד העבודה, משרד הבריאות ומשרד להגנת הסביבה, וכן ליווי בביקורות עצמן.","","4","6941b4c7fcb9256cd3217224","2025-12-16T19:36:39.722000","2025-12-16T19:36:39.722000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","יתרונות","זיהוי וסיווג מדויק של חומרים מסוכנים
בניית מאגרי מידע מקיפים
הערכת סיכונים כימיים מקצועית
הכנת דפי בטיחות (MSDS) בעברית
ליווי בביקורות רשויות
בניית תוכניות בטיחות מותאמות אישית
הדרכות עובדים וממוני בטיחות","","5","6941b4c7fcb9256cd3217225","2025-12-16T19:36:39.722000","2025-12-16T19:36:39.722000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","תהליך","1. סקר ראשוני של מקום העבודה וזיהוי חומרים
2. סיווג החומרים המסוכנים לפי תקני GHS
3. הערכת סיכונים מקיפה
4. בניית מאגר מידע וכתיבת דפי בטיחות
5. הכנת תוכנית בטיחות מותאמת
6. הדרכת עובדים וממוני בטיחות
7. הכנה וליווי בביקורות רשויות
8. מעקב ועדכון שוטף","","6","6941b4c7fcb9256cd3217226","2025-12-16T19:36:39.722000","2025-12-16T19:36:39.722000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","כותרת","בטיחות כימית","","1","6941b37e689f955153cca94b","2025-12-16T19:31:10.302000","2025-12-16T19:31:10.302000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","אייקון","Beaker","","2","6941b37e689f955153cca94c","2025-12-16T19:31:10.302000","2025-12-16T19:31:10.302000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","תיאור","מטרת העיסוק בבטיחות כימית היא להביא לידיעת מעסיקים ועובדים מידע בתחום הסיכונים הקיימים במקום העבודה כדי לתכנן ולבנות את הדרכים למניעת תאונות עבודה וחשיפה לחומרים כימיים.","","3","6941b37e689f955153cca94d","2025-12-16T19:31:10.302000","2025-12-16T19:31:10.302000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","תוכן מפורט","בטיחות כימית היא תחום קריטי בכל ארגון העובד עם חומרים כימיים. אנו מספקים שירותי ייעוץ מקיפים הכוללים זיהוי וסיווג חומרים מסוכנים, הערכת סיכונים, ובניית תוכניות בטיחות מפורטות.

השירותים שלנו כוללים ליווי מלא בתהליכי רישוי והיתרים, הכנה לביקורות משרד העבודה, והדרכות עובדים וממוני בטיחות.","","4","6941b37e689f955153cca94e","2025-12-16T19:31:10.302000","2025-12-16T19:31:10.302000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","יתרונות","זיהוי וסיווג חומרים מסוכנים
הערכת סיכונים כימיים מקיפה
בניית תוכניות בטיחות מותאמות אישית
ליווי בביקורות משרד העבודה
הדרכות מקצועיות לעובדים ומנהלים","","5","6941b37e689f955153cca94f","2025-12-16T19:31:10.302000","2025-12-16T19:31:10.302000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
"service-detail","chemical-safety","תהליך","1. סקר ראשוני של מקום העבודה וזיהוי חומרים
2. הערכת סיכונים מקיפה
3. בניית תוכנית בטיחות מותאמת
4. הדרכת עובדים וממוני בטיחות
5. מעקב ובקרה שוטפים","","6","6941b37e689f955153cca950","2025-12-16T19:31:10.302000","2025-12-16T19:31:10.302000","693ff28dde58acabbdf9d718","davidbinneun@gmail.com","false"
